Nombre;Total;Por mil
REYNALDO;264;0,013
ALAI;263;0,013
ALVARO MARIA;263;0,013
DAVID ANDRES;263;0,013
ELEDER;263;0,013
JERAY;263;0,013
JORGE RAUL;263;0,013
PEDRO JORGE;263;0,013
SACHA;263;0,013
SERGIO ENRIQUE;263;0,013
ABDELHAFID;262;0,013
ANTONIO PASCUAL;262;0,013
JOSEBA KOLDO;262;0,013
SANTIAGO DAVID;262;0,013
ALBERTO DAVID;261;0,013
DIEGO ALEXANDER;261;0,013
JOSE ORLANDO;261;0,013
LUIS BERNARDO;261;0,013
BRAIAN;260;0,013
GUSTAVO ALBERTO;260;0,013
INAR;260;0,013
MARIO ALEJANDRO;260;0,013
FILOMENO;259;0,013
GERARDO ANTONIO;259;0,013
JOSE FEDERICO;259;0,013
JULIO VICENTE;259;0,013
LUIS ALONSO;259;0,013
LUIS GERMAN;259;0,013
MILAN;259;0,013
ALFREDO ANTONIO;258;0,013
ANDRES ALEJANDRO;258;0,013
ANGEL FELIX;258;0,013
ANTONIO ESTEBAN;258;0,013
GABRIEL FRANCISCO;258;0,013
ION ANDER;258;0,013
JOAN ENRIC;258;0,013
VICTOR JUAN;258;0,013
ANDRES CARLOS;257;0,013
JAVIER DAVID;257;0,013
JESUS ROBERTO;257;0,013
JOSE REYES;257;0,013
JULIAN DAVID;257;0,013
LORENZO JESUS;257;0,013
MOHAMED SAID;257;0,013
AQUILES;256;0,012
DANNY;256;0,012
EDUARDO ANDRES;256;0,012
RICARDO MIGUEL;256;0,012
ALLAL;255;0,012
CESAR ENRIQUE;255;0,012
FLOREAL;255;0,012
JON IMANOL;255;0,012
JOSE MODESTO;255;0,012
FERNANDO GABRIEL;254;0,012
FRANCISCO JULIO;254;0,012
HECTOR DANIEL;254;0,012
JESUS RICARDO;254;0,012
MATTHEW;254;0,012
RAFAEL RAMON;254;0,012
ACAYMO;253;0,012
ALFREDO JAVIER;253;0,012
CARLOS JULIAN;253;0,012
CORNELIO;253;0,012
CRHISTIAN;253;0,012
FRANCIS;253;0,012
JAVI;253;0,012
ODIN;253;0,012
BESAY;252;0,012
FELIPE SANTIAGO;252;0,012
JESUALDO;252;0,012
JOSE MAURICIO;252;0,012
JOSEBA MIRENA;252;0,012
JULIAN CARLOS;252;0,012
MANUEL FELIX;252;0,012
MARCOS DANIEL;252;0,012
AGUSTIN ANTONIO;251;0,012
ANGEL ALFONSO;251;0,012
EDUARDO ALBERTO;251;0,012
ENRIQUE ALBERTO;251;0,012
HAITZ;251;0,012
IVAN ALEJANDRO;251;0,012
PEDRO EDUARDO;251;0,012
CALEB;250;0,012
EDUARDO DAVID;250;0,012
HUGO ALBERTO;250;0,012
JACINTO JOSE;250;0,012
PABLO VICENTE;250;0,012
VICTOR FERNANDO;250;0,012
ABDELMALIK;249;0,012
ALEJANDRO JUAN;249;0,012
CARLOS ERNESTO;249;0,012
CARLOS RUBEN;249;0,012
CRISTIAN DANIEL;249;0,012
FRANCISCO JAIME;249;0,012
JAVIER RAMON;249;0,012
JEFFERSON;249;0,012
JESUS LORENZO;249;0,012
JOSEBA IMANOL;249;0,012
JOSEBA KOLDOBIKA;249;0,012
LUIS JAIME;249;0,012
MAHMOUD;249;0,012
NEYZAN;249;0,012
ABDELHADI;248;0,012
ALEJANDRO RAFAEL;248;0,012
LUIS FELIX;248;0,012
SALMAN;248;0,012
SINESIO;248;0,012
VICENTE ANDRES;248;0,012
FRANCISCO ROBERTO;247;0,012
GUILLERMO ALEJANDRO;247;0,012
IVAN DAVID;247;0,012
JORGE ELIECER;247;0,012
KRISTIAN;247;0,012
OSCAR ENRIQUE;247;0,012
VICTOR ALBERTO;247;0,012
FRANCISCO GERMAN;246;0,012
JAKES;246;0,012
NICOLAS MANUEL;246;0,012
RAFAEL PEDRO;246;0,012
ALFONSO FRANCISCO;245;0,012
DONOVAN;245;0,012
FRANKLIN;245;0,012
JOSE RAIMUNDO;245;0,012
MARCELLI;245;0,012
VICENTE DAVID;245;0,012
ALBERTO RAMON;244;0,012
ANGEL FELIPE;244;0,012
CARLOS MARTIN;244;0,012
CESAR CARLOS;244;0,012
JOSE LEON;244;0,012
JOSE MARCIAL;244;0,012
JOSE PATRICIO;244;0,012
MICAEL;244;0,012
PERE ANTONI;244;0,012
DARIO JOSE;243;0,012
JUSTO JOSE;243;0,012
MARIANO ANTONIO;243;0,012
PEDRO EUGENIO;243;0,012
PEDRO FELIPE;243;0,012
PEDRO FELIX;243;0,012
ANDRES ANGEL;242;0,012
ANTONIO DIEGO;242;0,012
DANIEL FELIPE;242;0,012
HAROLD;242;0,012
ISHAK;242;0,012
IVAN FRANCISCO;242;0,012
JAOUAD;242;0,012
JOSE EUSEBIO;242;0,012
JOSE ISAAC;242;0,012
JULIO ALEJANDRO;242;0,012
JULIO IGNACIO;242;0,012
MIGUEL SANTOS;242;0,012
PEDRO PASCUAL;242;0,012
STEFANO;242;0,012
ANGEL ROBERTO;241;0,012
JORGE MARIA;241;0,012
NICOLAS ANTONIO;241;0,012
ARTURO MANUEL;240;0,012
CARLOS JORGE;240;0,012
JAIME MARIA;240;0,012
AITOR JOSE;239;0,012
ALICIO;239;0,012
ANTONIO CARMELO;239;0,012
EDISON;239;0,012
EDUARDO RAMON;239;0,012
HECTOR ANTONIO;239;0,012
JOHN ALEXANDER;239;0,012
LUIS IVAN;239;0,012
PABLO RAFAEL;239;0,012
SIGFRIDO;239;0,012
ALFONSO ANGEL;238;0,012
ANGEL MARIANO;238;0,012
ANTONIO EUGENIO;238;0,012
ISMAEL JESUS;238;0,012
JOSE ANIBAL;238;0,012
JOSE DOLORES;238;0,012
JULIO CARLOS;238;0,012
LLUIS MARIA;238;0,012
MANUEL CARMELO;238;0,012
OSCAR ALEJANDRO;238;0,012
PABLO SEBASTIAN;238;0,012
ANDRES RAMON;237;0,012
BORJA JOSE;237;0,012
DAVID JUAN;237;0,012
HUGO MANUEL;237;0,012
ISAI;237;0,012
PABLO RAMON;237;0,012
PRAXEDES;237;0,012
ROY;237;0,012
TOMAS MIGUEL;237;0,012
VICENTE PASCUAL;237;0,012
DANIEL VICENTE;236;0,011
HUG;236;0,011
CARLOS CESAR;235;0,011
LEONARDO JOSE;235;0,011
MANUEL GABRIEL;235;0,011
MANUEL MARTIN;235;0,011
MIGUEL RAFAEL;235;0,011
VICENTE TOMAS;235;0,011
YASER;235;0,011
ACACIO;234;0,011
AIDEN;234;0,011
ALFREDO LUIS;234;0,011
CARLOS ESTEBAN;234;0,011
CESAR MIGUEL;234;0,011
CLAUDIO JOSE;234;0,011
ERNESTO JAVIER;233;0,011
JOSE JERONIMO;233;0,011
JUAN DAMIAN;233;0,011
MOSTAPHA;233;0,011
PRIMO;233;0,011
TOMAS JAVIER;233;0,011
ZEBENSUI;233;0,011
ABDOULAYE;232;0,011
AGUSTIN JAVIER;232;0,011
FRANC;232;0,011
JOSE EULOGIO;232;0,011
ADRIAN ALEJANDRO;231;0,011
ANGEL JULIAN;231;0,011
FRANCISCO DIEGO;231;0,011
JORGE PABLO;231;0,011
JUAN GINES;231;0,011
LUIS ALVARO;231;0,011
MARTIN ANTONIO;231;0,011
OUSMANE;231;0,011
ADELARDO;230;0,011
ALEJANDRO ENRIQUE;230;0,011
ANTONIO IVAN;230;0,011
ARITZA;230;0,011
BENJAMI;230;0,011
BLAS JOSE;230;0,011
EDUARDO JUAN;230;0,011
JUAN AURELIO;230;0,011
MACIA;230;0,011
SIMO;230;0,011
ALEJANDRO NICOLAS;229;0,011
HECTOR DAVID;229;0,011
JESUS AGUSTIN;229;0,011
LUIS GUSTAVO;229;0,011
MIGUEL SANTIAGO;229;0,011
NASSIM;229;0,011
PEDRO ESTEBAN;229;0,011
ANDRES MAURICIO;228;0,011
CATALINO;228;0,011
EMIGDIO;228;0,011
EMILIO JUAN;228;0,011
ENRIQUE MARIA;228;0,011
GUSTAVO ANTONIO;228;0,011
IOSEBA;228;0,011
JESUS RAUL;228;0,011
JUAN ROMAN;228;0,011
KEVIN DANIEL;228;0,011
ALEJANDRO GABRIEL;227;0,011
ISAAC MANUEL;227;0,011
JAIME RAMON;227;0,011
JORGE GABRIEL;227;0,011
JOSE CRISTIAN;227;0,011
LUIS RAUL;227;0,011
SERGIO ALBERTO;227;0,011
ANDRES VICENTE;226;0,011
ANTONIO RUBEN;226;0,011
ARTURO JAVIER;226;0,011
ERNESTO MANUEL;226;0,011
JESUS ADRIAN;226;0,011
REDOUANE;226;0,011
ALVARO DANIEL;225;0,011
ANTONIO GUILLERMO;225;0,011
ANTONIO SEBASTIAN;225;0,011
GUILLERMO FRANCISCO;225;0,011
JOSE FABIAN;225;0,011
JOSEP JOAN;225;0,011
TASIO;225;0,011
WAEL;225;0,011
CESAR ALEJANDRO;224;0,011
DOMINGO GUZMAN;224;0,011
EMERITO;224;0,011
JOSE ABRAHAM;224;0,011
JOSE HUMBERTO;224;0,011
JUAN RUBEN;224;0,011
KHALED;224;0,011
MANUEL ADOLFO;224;0,011
MARCOS LUIS;224;0,011
PABLO MARTIN;224;0,011
PEDRO IVAN;224;0,011
PERE JOSEP;224;0,011
ANGEL RICARDO;223;0,011
BASTIAN;223;0,011
CARLOS DOMINGO;223;0,011
DIEGO MARIA;223;0,011
HAFID;223;0,011
JUAN ALEXIS;223;0,011
RAUL FRANCISCO;223;0,011
SAM;223;0,011
CLEMENCIO;222;0,011
JOAO;222;0,011
JUAN JERONIMO;222;0,011
MIGUEL SALVADOR;222;0,011
RUBEN FRANCISCO;222;0,011
AUSIAS;221;0,011
DAVID EDUARDO;221;0,011
ERASMO;221;0,011
JOAQUIN IGNACIO;221;0,011
LUIS BENITO;221;0,011
RAMON ENRIQUE;221;0,011
ROBINSON;221;0,011
ROSALINO;221;0,011
RUBENS;221;0,011
SEBASTIAN MANUEL;221;0,011
TAHA;221;0,011
AISSA;220;0,011
ALFONSO JUAN;220;0,011
ANGEL ALEJANDRO;220;0,011
CANDELARIO;220;0,011
DIDIER;220;0,011
JACINTO JAVIER;220;0,011
JAIR;220;0,011
JOSE LINO;220;0,011
JOSEP ENRIC;220;0,011
VICTOR EDUARDO;220;0,011
ANTOLIANO;219;0,011
JHON ALEXANDER;219;0,011
MIGUEL PEDRO;219;0,011
PEDRO SALVADOR;219;0,011
SALVADOR VICENTE;219;0,011
IZHAN;218;0,011
JOAQUIN ENRIQUE;218;0,011
JOHNNY;218;0,011
JOSE EVARISTO;218;0,011
MANUEL ARTURO;218;0,011
MARIO ANDRES;218;0,011
XACOBE;218;0,011
ABDALLAH;217;0,011
AGRIPINO;217;0,011
ALBERTO ENRIQUE;217;0,011
ALEJANDRO CARLOS;217;0,011
ALVARO DAVID;217;0,011
HATIM;217;0,011
JOSE FAUSTINO;217;0,011
JOSE LUCIANO;217;0,011
MANUEL SEBASTIAN;217;0,011
RAYANE;217;0,011
ANGEL RAUL;216;0,011
ENRIQUE DAVID;216;0,011
EUSEBI;216;0,011
ISAURO;216;0,011
JOSE AITOR;216;0,011
JUAN ISMAEL;216;0,011
JURGI;216;0,011
ANDRES JUAN;215;0,01
CHEIKH;215;0,01
EDDY;215;0,01
EUDALDO;215;0,01
JOAN IGNASI;215;0,01
MANUEL NICOLAS;215;0,01
ALFONSO DAVID;214;0,01
DIEGO RAMON;214;0,01
KEVIN DAVID;214;0,01
LLIBERT;214;0,01
EMILIO RAMON;213;0,01
FLORENCI;213;0,01
IVAN CARLOS;213;0,01
JONATHAN JOSE;213;0,01
MIGUEL JOAQUIN;213;0,01
OTHMAN;213;0,01
RUDESINDO;213;0,01
VICTOR RAFAEL;213;0,01
ADOLFO JESUS;212;0,01
ANTONIO JAIME;212;0,01
DIEGO ALFONSO;212;0,01
EMILIO VICENTE;212;0,01
FEDERICO MANUEL;212;0,01
FIDENCIO;212;0,01
FRANCISCO CARMELO;212;0,01
GERARDO MANUEL;212;0,01
ISIDRO JAVIER;212;0,01
JOB;212;0,01
JUSTIN;212;0,01
PABLO TOMAS;212;0,01
PASCUAL JOSE;212;0,01
PAULO CESAR;212;0,01
PAVEL;212;0,01
RICARDO DANIEL;212;0,01
WASIM;212;0,01
CESAR FRANCISCO;211;0,01
CRISTOFOL;211;0,01
FELIX LUIS;211;0,01
ISLAM;211;0,01
JOSE PAULINO;211;0,01
JOSEP XAVIER;211;0,01
JUAN JULIO;211;0,01
NAJIM;211;0,01
REDUAN;211;0,01
SAMUEL DAVID;211;0,01
ADELAIDO;210;0,01
CRISTIAN ALEJANDRO;210;0,01
EUTIQUIANO;210;0,01
GERMAN ANTONIO;210;0,01
MANUEL ROBERTO;210;0,01
MARTIN JAVIER;210;0,01
MAYKEL;210;0,01
NICOLAS JESUS;210;0,01
QUIQUE;210;0,01
RAFAEL SANTIAGO;210;0,01
ADOLFO MANUEL;209;0,01
AGUSTIN ANGEL;209;0,01
ALBERTO ANGEL;209;0,01
ANTONIO ROBERTO;209;0,01
CARLOS EUGENIO;209;0,01
CARLOS PEDRO;209;0,01
DAVID SANTIAGO;209;0,01
FLORINDO;209;0,01
FRANCESCO;209;0,01
FRANCISCO GREGORIO;209;0,01
IGNACIO RAMON;209;0,01
IYAD;209;0,01
JOSE CAMILO;209;0,01
JULIO DAVID;209;0,01
MANUEL GONZALO;209;0,01
NICOLAS ALEJANDRO;209;0,01
SERGIO IVAN;209;0,01
SERGIO JUAN;209;0,01
SIGIFREDO;209;0,01
SULAIMAN;209;0,01
GILBERT;208;0,01
IONE;208;0,01
JAVIER ALEXANDER;208;0,01
JUAN GERARDO;208;0,01
LICINIO;208;0,01
LUIS AURELIO;208;0,01
NOUR EDDINE;208;0,01
BINGEN;207;0,01
DAVID CARLOS;207;0,01
EUGENIO JESUS;207;0,01
ISOLINO;207;0,01
IVAN JAVIER;207;0,01
JULIAN MARIA;207;0,01
MANUEL DANIEL;207;0,01
PETER;207;0,01
ELIAS JOSE;206;0,01
JOSE SIMON;206;0,01
JUANJO;206;0,01
LISANDRO;206;0,01
MARCOS MIGUEL;206;0,01
RAUL ALEJANDRO;206;0,01
SULAYMAN;206;0,01
AITOR MANUEL;205;0,01
ALBERTO DANIEL;205;0,01
ELOY JOSE;205;0,01
FELIPE CARLOS;205;0,01
JORGE ARTURO;205;0,01
MAREN;205;0,01
PABLO EMILIO;205;0,01
RAFAEL JOAQUIN;205;0,01
SOHAIB;205;0,01
XAN;205;0,01
ALEJANDRO ALBERTO;204;0,01
BORJA MANUEL;204;0,01
CAMILO ANDRES;204;0,01
HARKAITZ;204;0,01
IELTXU;204;0,01
IVAN LUIS;204;0,01
JOSE JUSTO;204;0,01
JULIAN MIGUEL;204;0,01
MILOUD;204;0,01
XESUS;204;0,01
BERNARDO JESUS;203;0,01
BLAS ANTONIO;203;0,01
CARLOS AGUSTIN;203;0,01
ENRIQUE ALEJANDRO;203;0,01
ETELVINO;203;0,01
FABRICIO;203;0,01
FERNANDO ALFONSO;203;0,01
JHONNY;203;0,01
JOSE OMAR;203;0,01
LUCAS MANUEL;203;0,01
RAFAEL PABLO;203;0,01
RICARDO ENRIQUE;203;0,01
ROSSEND;203;0,01
ANTONIO JULIO;202;0,01
ESTEFANO;202;0,01
FEDERICO JAVIER;202;0,01
ISMAEL JOSE;202;0,01
MAMERTO;202;0,01
WAIL;202;0,01
YAMAL;202;0,01
YULEN;202;0,01
ABDELOUAHID;201;0,01
GONZALO MARIA;201;0,01
JORGE EMILIO;201;0,01
RAMON FERNANDO;201;0,01
ALVARO JUAN;200;0,01
ATAULFO;200;0,01
GRAU;200;0,01
JOAQUIN ANDRES;200;0,01
MARIO CESAR;200;0,01
MARTIN MANUEL;200;0,01
ODON;200;0,01
ADRIAN FRANCISCO;199;0,01
DARIEL;199;0,01
JAIME FERNANDO;199;0,01
JOSE SERGIO;199;0,01
MAGDALENO;199;0,01
MANUEL GREGORIO;199;0,01
MARTXEL;199;0,01
PEDRO NICOLAS;199;0,01
RAMON IGNACIO;199;0,01
CLODOALDO;198;0,01
DANIEL JUAN;198;0,01
DANIEL MIGUEL;198;0,01
DAVID RAFAEL;198;0,01
DIOGENES;198;0,01
FRANCISCO ISMAEL;198;0,01
LUIS MARCELO;198;0,01
PABLO ALFONSO;198;0,01
PEDRO JAIME;198;0,01
BENICIO;197;0,01
GERMAN JOSE;197;0,01
JOSE DIONISIO;197;0,01
JOSUA;197;0,01
LUCAS JOSE;197;0,01
MANUEL JAIME;197;0,01
MANUEL VICTOR;197;0,01
ROBERTO FRANCISCO;197;0,01
ROSARIO;197;0,01
WIFREDO;197;0,01
ACHER;196;0,01
ANGEL ESTEBAN;196;0,01
ANTONIO FERMIN;196;0,01
ANTONIO ISMAEL;196;0,01
AUREO;196;0,01
JUSTO ANTONIO;196;0,01
KENAY;196;0,01
LAUTARO;196;0,01
LUIS AGUSTIN;196;0,01
LUIS LORENZO;196;0,01
MARTIN ALEJANDRO;196;0,01
MIMON;196;0,01
PASQUAL;196;0,01
RICARDO JUAN;196;0,01
SERGIO RAMON;196;0,01
ABEL JESUS;195;0,01
DAVID DANIEL;195;0,01
FELIX RAMON;195;0,01
GUILLERMO JUAN;195;0,01
JESUS OSCAR;195;0,01
JOSE JONATHAN;195;0,01
JOSE OCTAVIO;195;0,01
KEVIN ALEJANDRO;195;0,01
MARIO FERNANDO;195;0,01
ALBERTO MARIA;194;0,009
GIANCARLO;194;0,009
JAVIER JUAN;194;0,009
JUAN OSCAR;194;0,009
MAROUANE;194;0,009
NICETO;194;0,009
RAMON JUAN;194;0,009
SAMUEL ALEJANDRO;194;0,009
ZOSIMO;194;0,009
AFRODISIO;193;0,009
ALVARO ENRIQUE;193;0,009
AMILCAR;193;0,009
BENITO JESUS;193;0,009
CRISTIAN ANTONIO;193;0,009
DRIS;193;0,009
EL BACHIR;193;0,009
JACINTO MANUEL;193;0,009
JOAN ANDREU;193;0,009
JOAQUIN RAFAEL;193;0,009
JORGE JOAQUIN;193;0,009
MARIO ENRIQUE;193;0,009
MATEO JOSE;193;0,009
NICOLA;193;0,009
SANTIAGO JUAN;193;0,009
AMADOU;192;0,009
CHRISTIAN JESUS;192;0,009
CRISANTOS;192;0,009
ILYASS;192;0,009
JORGE ARMANDO;192;0,009
JOSE LAUREANO;192;0,009
JOSE TEODORO;192;0,009
MOKHTAR;192;0,009
OSCAR RAMON;192;0,009
RICARDO DAVID;192;0,009
AGUSTIN MIGUEL;191;0,009
FRANCISCO MARIANO;191;0,009
HECTOR MIGUEL;191;0,009
ITZAN;191;0,009
JEREMI;191;0,009
JOAN VICENT;191;0,009
LUIS RODRIGO;191;0,009
MARIO FRANCISCO;191;0,009
OSCAR RAUL;191;0,009
PEDRO CESAR;191;0,009
ROBERTO ANGEL;191;0,009
ALEJANDRO RAMON;190;0,009
ANDRES ENRIQUE;190;0,009
ANGEL IVAN;190;0,009
DAVID LUIS;190;0,009
DOMINGO LUIS;190;0,009
EDUARDO RAFAEL;190;0,009
ERNESTO JESUS;190;0,009
JOAQUIN FERNANDO;190;0,009
JONATHAN ALEXANDER;190;0,009
SALVADOR MIGUEL;190;0,009
VICTOR JOAQUIN;190;0,009
VICTORIANO MANUEL;190;0,009
ABDERRAZAK;189;0,009
ANGEL RUBEN;189;0,009
CARMELO JAVIER;189;0,009
DANIEL CARLOS;189;0,009
EDUARDO ANGEL;189;0,009
EDUARDO VICENTE;189;0,009
FERNANDO JOAQUIN;189;0,009
FRANCISCO SEBASTIAN;189;0,009
JESUS GUILLERMO;189;0,009
JUAN CESAR;189;0,009
MARIA;189;0,009
MAXIMILIAN;189;0,009
NECO;189;0,009
OSCAR IVAN;189;0,009
DIEGO SEBASTIAN;188;0,009
FERNANDO TOMAS;188;0,009
HAROUN;188;0,009
JONHATAN;188;0,009
MOUHAMED;188;0,009
MUNIR;188;0,009
VICENTE ALBERTO;188;0,009
GUSTAVO DANIEL;187;0,009
JIMMY;187;0,009
LEONIDAS;187;0,009
LUPICINIO;187;0,009
MARIN;187;0,009
MARIO DAVID;187;0,009
MARIO MIGUEL;187;0,009
OSCAR RUBEN;187;0,009
ANGEL AGUSTIN;186;0,009
CESAR EDUARDO;186;0,009
DANIEL ESTEBAN;186;0,009
JESUS ALVARO;186;0,009
JOSE ABELARDO;186;0,009
OUALID;186;0,009
SANTIAGO MARIA;186;0,009
CLAUDIO ANTONIO;185;0,009
EDUARDO CARLOS;185;0,009
ELOY MANUEL;185;0,009
FERNANDO MARTIN;185;0,009
JESUS NICOLAS;185;0,009
JUSTO JAVIER;185;0,009
MARIANO JAVIER;185;0,009
YERAY JESUS;185;0,009
ANGEL MARTIN;184;0,009
DAVID VICENTE;184;0,009
DUARTE;184;0,009
FELIX CARLOS;184;0,009
JAWAD;184;0,009
JESUS EUGENIO;184;0,009
JOHAN SEBASTIAN;184;0,009
JORGE ALFREDO;184;0,009
JORGE RICARDO;184;0,009
JOSE BAUTISTA;184;0,009
LUIS ALEXANDER;184;0,009
PABLO JOAQUIN;184;0,009
PETRONILO;184;0,009
ROBERTO ALEJANDRO;184;0,009
SAMUEL ANTONIO;184;0,009
SIGFREDO;184;0,009
VICTOR VICENTE;184;0,009
ETIENNE;183;0,009
FREDY;183;0,009
GUSTAVO MANUEL;183;0,009
JORGE PEDRO;183;0,009
BLAS JESUS;182;0,009
CRISTOBAL JAVIER;182;0,009
FIDEL ANGEL;182;0,009
GEORGE;182;0,009
LUIS DIEGO;182;0,009
NICOLAS FRANCISCO;182;0,009
PEDRO GINES;182;0,009
PIERO;182;0,009
RAMI;182;0,009
ROLAND;182;0,009
VICENTE FERNANDO;182;0,009
YANN;182;0,009
ANTONIO MARIANO;181;0,009
CARLOS ALEXIS;181;0,009
CHRISTIAN MANUEL;181;0,009
CRISTIAN ALEXANDER;181;0,009
EDUARDO MARIA;181;0,009
GABRIEL MANUEL;181;0,009
HAITAM;181;0,009
JONATHAN JAVIER;181;0,009
KARAM;181;0,009
TOMAS ALBERTO;181;0,009
TOMAS LUIS;181;0,009
ABDELMALEK;180;0,009
ALBERTO ALEJANDRO;180;0,009
ELIAS MANUEL;180;0,009
GREGORIO ANTONIO;180;0,009
HOSSAIN;180;0,009
JABIER;180;0,009
JUAN EUSEBIO;180;0,009
LORENZO ANTONIO;180;0,009
MARUAN;180;0,009
OLIMPIO;180;0,009
OSCAR JUAN;180;0,009
OSCAR VICENTE;180;0,009
PEDRO VICTOR;180;0,009
ROBERTO DANIEL;180;0,009
ROBERTO JUAN;180;0,009
RODRIGO JAVIER;180;0,009
RUBEN ANGEL;180;0,009
SEBASTIAN ANDRES;180;0,009
ANTONIO VICTOR;179;0,009
ARIDANI;179;0,009
ASCENSIO;179;0,009
BLAS MANUEL;179;0,009
DIOSDADO;179;0,009
EXPEDITO;179;0,009
FERNANDO PEDRO;179;0,009
MANRIQUE;179;0,009
NORBERT;179;0,009
PARIS;179;0,009
RAFAEL JORGE;179;0,009
TOMAS ENRIQUE;179;0,009
BRUC;178;0,009
BYRON;178;0,009
CRISTIAN FERNANDO;178;0,009
DANIEL MARIA;178;0,009
DARWIN;178;0,009
EDGARD;178;0,009
EDUARDO DANIEL;178;0,009
ENRIQUE RAFAEL;178;0,009
HASSANE;178;0,009
IVAN DARIO;178;0,009
JULIO ALFONSO;178;0,009
MANUEL DAMIAN;178;0,009
MARCOS ANDRES;178;0,009
MIGUEL PABLO;178;0,009
ANDREY;177;0,009
ANTONIO BENITO;177;0,009
BONAVENTURA;177;0,009
DANIEL RAMON;177;0,009
EUSEBIO JOSE;177;0,009
HUGO ANTONIO;177;0,009
JAIME VICENTE;177;0,009
LEANDRO JOSE;177;0,009
MANUEL ADRIAN;177;0,009
MANUEL RAUL;177;0,009
PATRICIO JOSE;177;0,009
RAFAEL ALFONSO;177;0,009
RAUL JAVIER;177;0,009
SEBASTIAN ANTONIO;177;0,009
ALFONSO RAMON;176;0,009
BENAISSA;176;0,009
DATIVO;176;0,009
DYLAN ALEXANDER;176;0,009
FERMI;176;0,009
FRANCISCO XABIER;176;0,009
IGNACIO JUAN;176;0,009
JESUS JORGE;176;0,009
JORGE FELIX;176;0,009
JORGE SANTIAGO;176;0,009
JOSE MARCELO;176;0,009
JUAN JOAQUIN;176;0,009
MATIES;176;0,009
CARLOS FEDERICO;175;0,009
FRANCISCO ISRAEL;175;0,009
GAROE;175;0,009
GUILLERMO MIGUEL;175;0,009
MARCOS FRANCISCO;175;0,009
MARTIN FRANCISCO;175;0,009
MASSIMO;175;0,009
SEBASTIAN ALEJANDRO;175;0,009
TXABER;175;0,009
VICENTE PEDRO;175;0,009
VICTOR JULIAN;175;0,009
AARON JOSE;174;0,008
ANTONIO ISIDRO;174;0,008
DANIEL IGNACIO;174;0,008
DIEGO RAFAEL;174;0,008
JUAN RODRIGO;174;0,008
JULIO JUAN;174;0,008
MARCOS ALBERTO;174;0,008
NIKOLA;174;0,008
RAUL DAVID;174;0,008
SOCRATES;174;0,008
YARED;174;0,008
ARGELIO;173;0,008
CARLOS SALVADOR;173;0,008
GABRIEL EDUARDO;173;0,008
HENRIQUE;173;0,008
JORGE ROBERTO;173;0,008
JOSE MOISES;173;0,008
KEVIN MANUEL;173;0,008
MANUEL CRISTOBAL;173;0,008
MBAREK;173;0,008
MIGUEL AGUSTIN;173;0,008
MOHAMAD;173;0,008
MOHAMED YASSIN;173;0,008
NEYMAR;173;0,008
POMPEYO;173;0,008
RUBEN CARLOS;173;0,008
SALAH EDDINE;173;0,008
ABDELOUAHED;172;0,008
ADAI;172;0,008
ANGEL GUILLERMO;172;0,008
ANTONIO ADRIAN;172;0,008
BENITO JAVIER;172;0,008
CARLOS MARIANO;172;0,008
EL HASSANE;172;0,008
GUILLERMO ENRIQUE;172;0,008
MANUEL JULIO;172;0,008
RAFAEL EMILIO;172;0,008
BALDUINO;171;0,008
EDEN;171;0,008
FELIPE LUIS;171;0,008
FRANCISCO ADOLFO;171;0,008
FRANCISCO ALEXIS;171;0,008
JORGE ALFONSO;171;0,008
JUAN SANTOS;171;0,008
KIKE;171;0,008
LUIS MARCOS;171;0,008
MANUEL ISIDRO;171;0,008
SANTIAGO ALEJANDRO;171;0,008
SANTIAGO ANGEL;171;0,008
BRYAN STEVEN;170;0,008
CARLOS ADOLFO;170;0,008
CARLOS ARMANDO;170;0,008
CESAR MARIA;170;0,008
DAVID RAMON;170;0,008
GUSTAVO ENRIQUE;170;0,008
JESUS VALENTIN;170;0,008
JORDI JOSEP;170;0,008
LUIS SEBASTIAN;170;0,008
MANUEL OSCAR;170;0,008
PASCUAL ANTONIO;170;0,008
ALEXEY;169;0,008
ANTONIO GERMAN;169;0,008
CESAR ANDRES;169;0,008
DAIRON;169;0,008
DIEGO ALONSO;169;0,008
FLAVIANO;169;0,008
FRANCISCO ALONSO;169;0,008
FRANCISCO ROMAN;169;0,008
JAIME EDUARDO;169;0,008
JOAN SEBASTIAN;169;0,008
LEOPOLDO JOSE;169;0,008
SASHA;169;0,008
ABDULLAH;168;0,008
ADAMA;168;0,008
ALFREDO MIGUEL;168;0,008
ASIS;168;0,008
BRYAN ANDRES;168;0,008
CARLOS NICOLAS;168;0,008
DANIEL JAVIER;168;0,008
EBRIMA;168;0,008
ISIDRO ANTONIO;168;0,008
JOHN FREDY;168;0,008
JOSE HIGINIO;168;0,008
JUAN MARCELO;168;0,008
JUAN SERGIO;168;0,008
KARMELO;168;0,008
MIGUEL TOMAS;168;0,008
PABLO SANTIAGO;168;0,008
RICARDO ANGEL;168;0,008
SALVA;168;0,008
ZIAD;168;0,008
ALBERTO TOMAS;167;0,008
ARMICHE;167;0,008
CARLOS SEBASTIAN;167;0,008
JESUS PASCUAL;167;0,008
MANUEL SANTOS;167;0,008
OSSAMA;167;0,008
PEDRO RAUL;167;0,008
RAUL FERNANDO;167;0,008
YUSSEF;167;0,008
